layout_pass,circuit_type,num_qubits,topology,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
qlego-qiskit_TrivialLayoutPass,DJ Circuit,5,heavy_hex,success,,55.0,31.0,19.0,16.0
qlego-qiskit_DenseLayoutPass,DJ Circuit,5,heavy_hex,success,,55.0,31.0,19.0,16.0
qlego-qiskit_SabreLayoutPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_VF2LayoutPass,DJ Circuit,5,heavy_hex,failed,qiskit.transpiler.exceptions.TranspilerError: 'Layout algorithm failed to find a valid mapping.',,,,
qlego-qiskit_CSPLayoutPass,DJ Circuit,5,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-tket_LinePlacementPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_DenseLayoutPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_SabreLayoutPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_VF2LayoutPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_CSPLayoutPass,GHZ Circuit,5,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-tket_LinePlacementPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,GHZ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,Grover Circuit,5,heavy_hex,success,,849.0,674.0,423.0,378.0
qlego-qiskit_DenseLayoutPass,Grover Circuit,5,heavy_hex,success,,849.0,674.0,423.0,378.0
qlego-qiskit_SabreLayoutPass,Grover Circuit,5,heavy_hex,success,,825.0,671.0,399.0,376.0
qlego-qiskit_VF2LayoutPass,Grover Circuit,5,heavy_hex,failed,qiskit.transpiler.exceptions.TranspilerError: 'Layout algorithm failed to find a valid mapping.',,,,
qlego-qiskit_CSPLayoutPass,Grover Circuit,5,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-tket_LinePlacementPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,Grover Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,QFT Circuit,5,heavy_hex,success,,100.0,72.0,50.0,40.0
qlego-qiskit_DenseLayoutPass,QFT Circuit,5,heavy_hex,success,,100.0,72.0,50.0,40.0
qlego-qiskit_SabreLayoutPass,QFT Circuit,5,heavy_hex,success,,82.0,62.0,32.0,28.0
qlego-qiskit_VF2LayoutPass,QFT Circuit,5,heavy_hex,failed,qiskit.transpiler.exceptions.TranspilerError: 'Layout algorithm failed to find a valid mapping.',,,,
qlego-qiskit_CSPLayoutPass,QFT Circuit,5,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-tket_LinePlacementPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,QFT Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,Amplitude Estimation Circuit,5,heavy_hex,success,,319.0,255.0,72.0,69.0
qlego-qiskit_DenseLayoutPass,Amplitude Estimation Circuit,5,heavy_hex,success,,319.0,255.0,72.0,69.0
qlego-qiskit_SabreLayoutPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,240.0,54.0,54.0
qlego-qiskit_VF2LayoutPass,Amplitude Estimation Circuit,5,heavy_hex,failed,qiskit.transpiler.exceptions.TranspilerError: 'Layout algorithm failed to find a valid mapping.',,,,
qlego-qiskit_CSPLayoutPass,Amplitude Estimation Circuit,5,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-tket_LinePlacementPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,Amplitude Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,109.0,82.0,50.0,47.0
qlego-qiskit_DenseLayoutPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,109.0,82.0,50.0,47.0
qlego-qiskit_SabreLayoutPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,59.0,32.0,32.0
qlego-qiskit_VF2LayoutPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,qiskit.transpiler.exceptions.TranspilerError: 'Layout algorithm failed to find a valid mapping.',,,,
qlego-qiskit_CSPLayoutPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-tket_LinePlacementPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,Quantum Phase Estimation Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_DenseLayoutPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_SabreLayoutPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_VF2LayoutPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_CSPLayoutPass,W State Circuit,5,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-tket_LinePlacementPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
