optimization_pass,opt_mode,circuit_type,num_qubits,topology,status,error
qlego-qiskit_PresetOptimizationPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_Optimize1qGatesPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_Optimize1qGateDecompositionPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_Optimize1qGateSimpleCommutationPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_CommutativeCancellationPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_CommutationAnalysisPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_CommutativeOptimizationPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_OptimizeCliffordsPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_OptimizeCliffordTPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_CollectCliffordsPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_Collect2qBlocksPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_CollectMultiQBlocksPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_RemoveIdentityEquivalentPass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
qlego-qiskit_OptimizeSwapBeforeMeasurePass,Standalone,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'qiskit_aer'
