pipeline_type,opt_sequence,circuit_type,num_qubits,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
baseline,none,DJ Circuit,5,success,,43.0,19.0,7.0,7.0
baseline,none,DJ Circuit,10,success,,103.0,39.0,24.0,24.0
baseline,none,DJ Circuit,15,success,,162.0,67.0,44.0,43.0
baseline,none,DJ Circuit,20,success,,221.0,90.0,64.0,62.0
baseline,none,GHZ Circuit,5,success,,12.0,8.0,4.0,4.0
baseline,none,GHZ Circuit,10,success,,22.0,13.0,9.0,9.0
baseline,none,GHZ Circuit,15,success,,32.0,18.0,14.0,14.0
baseline,none,GHZ Circuit,20,success,,42.0,23.0,19.0,19.0
baseline,none,Grover Circuit,5,success,,816.0,624.0,390.0,356.0
baseline,none,Grover Circuit,10,success,,59586.0,46168.0,31923.0,26041.0
baseline,none,Grover Circuit,15,success,,1184197.0,936728.0,640639.0,511246.0
baseline,none,Grover Circuit,20,failed,Timeout: pipeline exceeded 50s,,,,
baseline,none,QFT Circuit,5,success,,82.0,53.0,32.0,28.0
baseline,none,QFT Circuit,10,success,,364.0,184.0,189.0,114.0
baseline,none,QFT Circuit,15,success,,897.0,378.0,522.0,252.0
baseline,none,QFT Circuit,20,success,,1609.0,562.0,959.0,392.0
baseline,none,Amplitude Estimation Circuit,5,success,,301.0,245.0,54.0,54.0
baseline,none,Amplitude Estimation Circuit,10,success,,8013.0,6818.0,1193.0,1136.0
baseline,none,Amplitude Estimation Circuit,15,success,,246586.0,213302.0,33230.0,32993.0
baseline,none,Quantum Phase Estimation Circuit,5,success,,91.0,68.0,32.0,32.0
baseline,none,Quantum Phase Estimation Circuit,10,success,,369.0,187.0,182.0,117.0
baseline,none,Quantum Phase Estimation Circuit,15,success,,906.0,374.0,492.0,252.0
baseline,none,Quantum Phase Estimation Circuit,20,success,,1663.0,627.0,959.0,418.0
baseline,none,W State Circuit,5,success,,78.0,46.0,8.0,6.0
baseline,none,W State Circuit,10,success,,173.0,91.0,18.0,11.0
baseline,none,W State Circuit,15,success,,268.0,136.0,28.0,16.0
baseline,none,W State Circuit,20,success,,363.0,181.0,38.0,21.0
baseline,none,Half Adder Circuit,5,success,,72.0,58.0,34.0,33.0
baseline,none,Half Adder Circuit,15,success,,641.0,309.0,384.0,224.0
baseline,none,BV Circuit,5,success,,31.0,16.0,2.0,2.0
baseline,none,BV Circuit,10,success,,65.0,33.0,7.0,7.0
baseline,none,BV Circuit,15,success,,118.0,54.0,19.0,15.0
baseline,none,BV Circuit,20,success,,152.0,80.0,24.0,24.0
baseline,none,Graph State Circuit,5,success,,61.0,23.0,11.0,7.0
baseline,none,Graph State Circuit,10,success,,125.0,33.0,25.0,10.0
baseline,none,Graph State Circuit,15,success,,192.0,42.0,42.0,14.0
baseline,none,Graph State Circuit,20,success,,259.0,38.0,59.0,15.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,DJ Circuit,5,success,,43.0,19.0,7.0,7.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,DJ Circuit,10,success,,103.0,39.0,24.0,24.0
