routing_pass,circuit_type,num_qubits,topology,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
qlego-qiskit_PresetRoutingPass,DJ Circuit,5,heavy_hex,success,,43.0,15.0,7.0,7.0
qlego-qiskit_SabreSwapRoutingPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_BasicSwapRoutingPass,DJ Circuit,5,heavy_hex,success,,46.0,19.0,10.0,7.0
qlego-qiskit_LookaheadRoutingPass,DJ Circuit,5,heavy_hex,success,,46.0,22.0,10.0,10.0
qlego-qiskit_StochasticSwapRoutingPass,DJ Circuit,5,heavy_hex,success,,43.0,18.0,7.0,6.0
qlego-tket_TketDefaultRoutingPass,DJ Circuit,5,heavy_hex,success,,42.0,21.0,10.0,10.0
qlego-tket_AASRoutePass,DJ Circuit,5,heavy_hex,success,,507.0,335.0,445.0,335.0
qlego-tket_LexiRoutePass,DJ Circuit,5,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,DJ Circuit,5,heavy_hex,success,,39.0,18.0,7.0,7.0
qlego-bqskit_GeneralizedSabreRoutingPass,DJ Circuit,5,heavy_hex,success,,39.0,14.0,7.0,7.0
qlego-bqskit_PAMRoutingPass,DJ Circuit,5,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,DJ Circuit,10,heavy_hex,success,,106.0,48.0,27.0,26.0
qlego-qiskit_SabreSwapRoutingPass,DJ Circuit,10,heavy_hex,success,,106.0,42.0,27.0,26.0
qlego-qiskit_BasicSwapRoutingPass,DJ Circuit,10,heavy_hex,success,,103.0,42.0,24.0,24.0
qlego-qiskit_LookaheadRoutingPass,DJ Circuit,10,heavy_hex,success,,106.0,47.0,27.0,27.0
qlego-qiskit_StochasticSwapRoutingPass,DJ Circuit,10,heavy_hex,success,,103.0,43.0,24.0,24.0
qlego-tket_TketDefaultRoutingPass,DJ Circuit,10,heavy_hex,success,,109.0,52.0,39.0,30.0
qlego-tket_AASRoutePass,DJ Circuit,10,heavy_hex,success,,183.0,82.0,35.0,33.0
qlego-tket_LexiRoutePass,DJ Circuit,10,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,DJ Circuit,10,heavy_hex,success,,94.0,39.0,24.0,21.0
qlego-bqskit_GeneralizedSabreRoutingPass,DJ Circuit,10,heavy_hex,success,,97.0,42.0,27.0,23.0
qlego-bqskit_PAMRoutingPass,DJ Circuit,10,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,DJ Circuit,15,heavy_hex,success,,165.0,82.0,47.0,47.0
qlego-qiskit_SabreSwapRoutingPass,DJ Circuit,15,heavy_hex,success,,162.0,76.0,44.0,44.0
qlego-qiskit_BasicSwapRoutingPass,DJ Circuit,15,heavy_hex,success,,159.0,58.0,41.0,38.0
qlego-qiskit_LookaheadRoutingPass,DJ Circuit,15,heavy_hex,success,,162.0,69.0,44.0,44.0
qlego-qiskit_StochasticSwapRoutingPass,DJ Circuit,15,heavy_hex,success,,162.0,69.0,44.0,41.0
qlego-tket_TketDefaultRoutingPass,DJ Circuit,15,heavy_hex,success,,178.0,96.0,74.0,64.0
qlego-tket_AASRoutePass,DJ Circuit,15,heavy_hex,success,,1806.0,1467.0,1600.0,1416.0
qlego-tket_LexiRoutePass,DJ Circuit,15,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,DJ Circuit,15,heavy_hex,success,,151.0,77.0,47.0,46.0
qlego-bqskit_GeneralizedSabreRoutingPass,DJ Circuit,15,heavy_hex,success,,148.0,69.0,44.0,43.0
qlego-bqskit_PAMRoutingPass,DJ Circuit,15,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,DJ Circuit,20,heavy_hex,success,,224.0,97.0,67.0,63.0
qlego-qiskit_SabreSwapRoutingPass,DJ Circuit,20,heavy_hex,success,,218.0,89.0,61.0,59.0
qlego-qiskit_BasicSwapRoutingPass,DJ Circuit,20,heavy_hex,success,,233.0,96.0,76.0,62.0
qlego-qiskit_LookaheadRoutingPass,DJ Circuit,20,heavy_hex,success,,230.0,100.0,73.0,66.0
qlego-qiskit_StochasticSwapRoutingPass,DJ Circuit,20,heavy_hex,success,,236.0,99.0,79.0,59.0
qlego-tket_TketDefaultRoutingPass,DJ Circuit,20,heavy_hex,success,,223.0,115.0,85.0,66.0
qlego-tket_AASRoutePass,DJ Circuit,20,heavy_hex,success,,1570.0,1244.0,1306.0,1179.0
qlego-tket_LexiRoutePass,DJ Circuit,20,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,DJ Circuit,20,heavy_hex,success,,205.0,103.0,67.0,65.0
qlego-bqskit_GeneralizedSabreRoutingPass,DJ Circuit,20,heavy_hex,success,,211.0,101.0,73.0,67.0
qlego-bqskit_PAMRoutingPass,DJ Circuit,20,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_SabreSwapRoutingPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_BasicSwapRoutingPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_LookaheadRoutingPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_StochasticSwapRoutingPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-tket_TketDefaultRoutingPass,GHZ Circuit,5,heavy_hex,success,,7.0,7.0,4.0,4.0
qlego-tket_AASRoutePass,GHZ Circuit,5,heavy_hex,success,,7.0,7.0,4.0,4.0
qlego-tket_LexiRoutePass,GHZ Circuit,5,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,GHZ Circuit,5,heavy_hex,success,,7.0,7.0,4.0,4.0
qlego-bqskit_GeneralizedSabreRoutingPass,GHZ Circuit,5,heavy_hex,success,,7.0,7.0,4.0,4.0
qlego-bqskit_PAMRoutingPass,GHZ Circuit,5,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,GHZ Circuit,10,heavy_hex,success,,22.0,13.0,9.0,9.0
qlego-qiskit_SabreSwapRoutingPass,GHZ Circuit,10,heavy_hex,success,,22.0,13.0,9.0,9.0
qlego-qiskit_BasicSwapRoutingPass,GHZ Circuit,10,heavy_hex,success,,22.0,13.0,9.0,9.0
qlego-qiskit_LookaheadRoutingPass,GHZ Circuit,10,heavy_hex,success,,22.0,13.0,9.0,9.0
qlego-qiskit_StochasticSwapRoutingPass,GHZ Circuit,10,heavy_hex,success,,22.0,13.0,9.0,9.0
qlego-tket_TketDefaultRoutingPass,GHZ Circuit,10,heavy_hex,success,,12.0,12.0,9.0,9.0
