circuit_type,num_qubits,ordering,baseline_depth,baseline_gates,baseline_2q,status,error,step0_sdk,step0_converged_iters,step0_depth,step0_gates,step0_2q,step1_sdk,step1_depth,step1_gates,step1_2q,step2_sdk,step2_depth,step2_gates,step2_2q,step1_residual_pct,step2_residual_pct
DJ Circuit,5,Qiskit -> TKet -> BQSKit,19,43,7,success,,Qiskit,2,15,35,7,TKet,7.0,17.0,4.0,BQSKit,5.0,7.0,4.0,53.33,28.57
DJ Circuit,5,Qiskit -> BQSKit -> TKet,19,43,7,success,,Qiskit,2,15,35,7,BQSKit,11.0,17.0,7.0,TKet,6.0,13.0,4.0,26.67,45.45
DJ Circuit,5,TKet -> Qiskit -> BQSKit,19,43,7,success,,TKet,2,7,17,4,Qiskit,10.0,31.0,4.0,BQSKit,7.0,15.0,4.0,-42.86,30.0
DJ Circuit,5,TKet -> BQSKit -> Qiskit,19,43,7,success,,TKet,2,7,17,4,BQSKit,5.0,7.0,4.0,Qiskit,4.0,4.0,4.0,28.57,20.0
DJ Circuit,5,BQSKit -> Qiskit -> TKet,19,43,7,success,,BQSKit,3,12,20,7,Qiskit,12.0,22.0,7.0,TKet,6.0,13.0,4.0,0.0,50.0
DJ Circuit,5,BQSKit -> TKet -> Qiskit,19,43,7,success,,BQSKit,3,12,20,7,TKet,6.0,13.0,4.0,Qiskit,6.0,13.0,4.0,50.0,0.0
GHZ Circuit,5,Qiskit -> TKet -> BQSKit,8,12,4,success,,Qiskit,2,8,12,4,TKet,6.0,10.0,4.0,BQSKit,,,,25.0,
GHZ Circuit,5,Qiskit -> BQSKit -> TKet,8,12,4,success,,Qiskit,2,8,12,4,BQSKit,,,,TKet,6.0,10.0,4.0,,
GHZ Circuit,5,TKet -> Qiskit -> BQSKit,8,12,4,success,,TKet,2,6,10,4,Qiskit,8.0,12.0,4.0,BQSKit,5.0,5.0,4.0,-33.33,37.5
GHZ Circuit,5,TKet -> BQSKit -> Qiskit,8,12,4,success,,TKet,2,6,10,4,BQSKit,4.0,4.0,4.0,Qiskit,4.0,4.0,4.0,33.33,0.0
GHZ Circuit,5,BQSKit -> Qiskit -> TKet,8,12,4,success,,BQSKit,2,5,5,4,Qiskit,5.0,5.0,4.0,TKet,5.0,5.0,4.0,0.0,0.0
