part,category,sdk,pass_key,circuit_type,num_qubits,pipeline_type,pass_name,wall_s,cpu_s,overhead_s,status,error,pipeline_name,sdk_type
A_per_pass,Layout,qiskit,qlego-qiskit_TrivialLayoutPass,DJ Circuit,5,single_pass,Preset Init Pass,0.302,0.2949,0.0071,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_TrivialLayoutPass,DJ Circuit,5,single_pass,Trivial Layout,0.0021,0.0018,0.0003,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_TrivialLayoutPass,DJ Circuit,5,single_pass,Preset Routing Pass,0.0066,0.0081,-0.0015,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_TrivialLayoutPass,DJ Circuit,5,single_pass,Preset Translation Pass,0.0044,0.0041,0.0003,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_TrivialLayoutPass,DJ Circuit,5,single_pass,__TOTAL__,0.3151,0.3088,0.0063,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_DenseLayoutPass,DJ Circuit,5,single_pass,Preset Init Pass,0.2845,0.2849,-0.0004,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_DenseLayoutPass,DJ Circuit,5,single_pass,Dense Layout,0.2434,0.0767,0.1668,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_DenseLayoutPass,DJ Circuit,5,single_pass,Preset Routing Pass,0.0057,0.0071,-0.0014,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_DenseLayoutPass,DJ Circuit,5,single_pass,Preset Translation Pass,0.0044,0.0044,-0.0,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_DenseLayoutPass,DJ Circuit,5,single_pass,__TOTAL__,0.5381,0.3731,0.165,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_SabreLayoutPass,DJ Circuit,5,single_pass,Preset Init Pass,0.2831,0.2834,-0.0003,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_SabreLayoutPass,DJ Circuit,5,single_pass,Sabre Layout,0.002,0.0057,-0.0036,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_SabreLayoutPass,DJ Circuit,5,single_pass,Preset Routing Pass,0.0044,0.0044,-0.0,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_SabreLayoutPass,DJ Circuit,5,single_pass,Preset Translation Pass,0.0038,0.0038,-0.0,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_SabreLayoutPass,DJ Circuit,5,single_pass,__TOTAL__,0.2933,0.2972,-0.004,success,,,
A_per_pass,Layout,qiskit,qlego-qiskit_VF2LayoutPass,DJ Circuit,5,single_pass,__FAILED__,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Preset Init Pass
Finished pass Preset Init Pass
Starting pass VF2 Layout
'Layout algorithm failed to find a valid mapping.'
Traceback (most r",,
A_per_pass,Layout,qiskit,qlego-qiskit_CSPLayoutPass,DJ Circuit,5,single_pass,__FAILED__,,,,failed,"Worker subprocess failed with code 1
STDERR: Starting pass Preset Init Pass
Finished pass Preset Init Pass
Starting pass CSP Layout
""The 'python-constraint' library is required to use 'CSPLayout'. You",,
A_per_pass,Layout,qiskit,qlego-qiskit_PresetLayoutPass,DJ Circuit,5,single_pass,Preset Init Pass,0.2927,0.2928,-0.0001,success,,,
